FirstName,LastName,Website,Size,Medium,Title,imgWidth,imgHeight,photo,price,AWARD
Karen,Schroder,https://www.californiaartleague.org/Sys/PublicProfile/54226120/1328698,36x24,Acrylic,Trilogy 1 - Brazilian Rain Forest 1960,1248,1920,43162-trilogy_1_-_brazilian_rain_forest_1960-3120201137-80756.jpg,$889,Best of Show
Gregory,Radionov,http://gregoryradionov.ru.gg/,40x30,Watercolor,free will,1338,1920,43162-free_will-219202063-12741.jpg,"$2,000",First Place
Paul M,Murray,https://www.facebook.com/pmmurray,30x23,Photography,Enormity,1237,1920,43162-enormity-132020210-51653.jpg,$995,Second Place
Karol,Blumenthal,https://www.californiaartleague.org/Sys/PublicProfile/26806667/1328698,11x14,Digital Art,Traffic Solutions?,1920,1509,43162-traffic_solutions_-22320201357-17934.jpg,$275,Third Place
Jane,Thorpe,https://www.californiaartleague.org/Sys/PublicProfile/10165555/1328698,12x16,Oil,Crowned In Gold,1920,1440,43162-crowned_in_gold-2292020139-5363.jpg,$750,Merchandise Award
Ken,Kochakji,http://www.photographybykenkochakji.com,11x17,Photography,"Lucerne, Switzerland fantasy",1920,1214,43162-lucerne__switzerland_fantasy-21220201448-36162.jpg,$400,Merchandise Award
Debra,Hintz,https://debrahintz.com,12x16,Oil,Warming & Cooling Trends,1920,1443,43162-warming___cooling_trends-2232020817-1172.jpg,$450,Honorable Mention
Eric,Renard,https://ericrenardphotography.com,10x15,Photography,Fading Colors,1280,1920,43162-untit_ed-3120201111-88843.jpg,$575,Honorable Mention
David,Aswad,https://www.facebook.com/david.aswad.33,10x13,Oil,High Tide,1920,1432,43162-high_tide-3120201820-17785.jpg,$750,Honorable Mention
Sylvia H,Goulden,https://sylviahgoulden.artspan.com/,22x15,Monoprint,Freedom Fighters,1274,1920,43162-freedom_fighters-3120201623-16210.jpg,$550,Honorable Mention
David,Aswad,https://www.facebook.com/david.aswad.33,12x16,Oil,After the Storm,1920,1427,43162-after_the_storm-3120201823-17785.jpg,$750,
Norm,Beal,https://www.norakoerber.com/,20x24,Oil,Tadpoles,1920,1596,43162-tadpoles-22920201754-12666.jpg,"$1,800",
Karol,Blumenthal,https://www.californiaartleague.org/Sys/PublicProfile/26806667/1328698,11x14,Digital Art,Dodger Stadium Bleachers,1437,1920,43162-dodger_stadium-22320201358-17934.jpg,$275,
Karol,Blumenthal,https://www.californiaartleague.org/Sys/PublicProfile/26806667/1328698,11x14,Digital Collage,Low Rider,1920,1509,43162-low_rider-22320201356-17934.jpg,$275,
